review,rating,date,bank,source,language,sentiment,sentiment_score,themes
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27,CBE,Google Play,en,POSITIVE,0.9984679818153381,"['Transaction Issues', 'Fees & Charges']"
why didn't work this app?,1,2025-11-27,CBE,Google Play,en,NEGATIVE,0.9991324543952942,['Other']
The app makes our life easier. Thank you CBE!,5,2025-11-27,CBE,Google Play,en,POSITIVE,0.9996963739395142,['Other']
this app very bad 👎,1,2025-11-27,CBE,Google Play,en,NEGATIVE,0.9997968077659607,['Other']
the most advanced app. but how to stay safe?,5,2025-11-27,CBE,Google Play,en,NEGATIVE,0.9565094709396362,['Other']
Good application,4,2025-11-27,CBE,Google Play,en,POSITIVE,0.999854564666748,['Other']
It is nice app,5,2025-11-26,CBE,Google Play,en,POSITIVE,0.9998478889465332,['Other']
best,5,2025-11-25,CBE,Google Play,other,POSITIVE,0.9997941851615906,['Other']
good app,5,2025-11-25,CBE,Google Play,other,POSITIVE,0.9998493194580078,['Other']
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,Google Play,en,NEGATIVE,0.9993435740470886,['Transaction Issues']
nice app...,5,2025-11-25,CBE,Google Play,other,POSITIVE,0.9997116923332214,['Other']
very good banking service and fast service,5,2025-11-24,CBE,Google Play,en,POSITIVE,0.9998499155044556,"['App Performance', 'Customer Support']"
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play,en,POSITIVE,0.9971639513969421,['Customer Support']
good,5,2025-11-24,CBE,Google Play,other,POSITIVE,0.9998161196708679,['Other']
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play,en,NEGATIVE,0.9984826445579529,"['Transaction Issues', 'Fees & Charges']"
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play,am,NEGATIVE,0.4416234493255615,['Other']
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play,am,POSITIVE,0.41240888833999634,['User Interface']
