review,rating,date,bank,source
This application is very important and advantage for transfer of money and finance in the coutry and foriegn country.,5,2025-11-27 21:08:20,CBE,Google Play
why didn't work this app?,1,2025-11-27 20:40:35,CBE,Google Play
The app makes our life easier. Thank you CBE!,5,2025-11-27 16:00:06,CBE,Google Play
this app very bad 👎,1,2025-11-27 14:28:10,CBE,Google Play
the most advanced app. but how to stay safe?,5,2025-11-27 08:03:41,CBE,Google Play
Good application,4,2025-11-27 06:59:12,CBE,Google Play
It is nice app,5,2025-11-26 10:03:18,CBE,Google Play
best,5,2025-11-25 18:27:20,CBE,Google Play
good app,5,2025-11-25 16:10:35,CBE,Google Play
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25 15:14:22,CBE,Google Play
nice app...,5,2025-11-25 08:24:19,CBE,Google Play
very good banking service and fast service,5,2025-11-24 19:09:29,CBE,Google Play
thanks blc this app help me to use all time,5,2025-11-24 12:36:07,CBE,Google Play
good,5,2025-11-24 09:54:09,CBE,Google Play
why we can't send money to other people telebirr wallets??,1,2025-11-24 06:44:51,CBE,Google Play
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23 21:12:04,CBE,Google Play
በጣም ቀላልና ምቹ ነው።,5,2025-11-23 18:22:11,CBE,Google Play
wow,5,2025-11-23 13:30:09,CBE,Google Play
good,5,2025-11-23 08:13:39,CBE,Google Play
nice,5,2025-11-22 18:27:39,CBE,Google Play
you are the reason why i got ye chogara himem,1,2025-11-22 11:33:11,CBE,Google Play
it is so smart app i recommend it for everyone,5,2025-11-22 09:51:00,CBE,Google Play
excellent,5,2025-11-22 09:34:12,CBE,Google Play
good,5,2025-11-21 20:11:35,CBE,Google Play
ዳጊ,5,2025-11-21 17:55:17,CBE,Google Play
absolutely right,5,2025-11-21 16:45:37,CBE,Google Play
good app,5,2025-11-21 16:07:17,CBE,Google Play
mid application it's so annoying,3,2025-11-20 16:58:06,CBE,Google Play
I used morethan one year,4,2025-11-20 15:52:03,CBE,Google Play
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20 14:15:18,CBE,Google Play
"It's great app,I love this app",5,2025-11-20 09:37:22,CBE,Google Play
Nice,5,2025-11-19 21:42:22,CBE,Google Play
suckkkks,1,2025-11-19 17:20:20,CBE,Google Play
not allowing to transfer and showing current statement updates.,1,2025-11-19 16:51:36,CBE,Google Play
I love you this app,5,2025-11-19 08:09:34,CBE,Google Play
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19 06:28:14,CBE,Google Play
make life easy,5,2025-11-19 06:02:38,CBE,Google Play
securr,5,2025-11-19 03:55:07,CBE,Google Play
My most optional bank,5,2025-11-17 16:08:01,CBE,Google Play
5 star,5,2025-11-16 22:43:29,CBE,Google Play
it is fantastic app.,5,2025-11-16 11:14:03,CBE,Google Play
excellent,5,2025-11-16 09:17:05,CBE,Google Play
sifen,5,2025-11-16 07:52:58,CBE,Google Play
i like this√,4,2025-11-16 07:04:39,CBE,Google Play
Ok,3,2025-11-16 01:50:12,CBE,Google Play
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15 20:07:10,CBE,Google Play
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15 19:51:01,CBE,Google Play
Like,5,2025-11-13 15:38:49,CBE,Google Play
Nice and very useful app i like it!,5,2025-11-13 11:21:35,CBE,Google Play
good,5,2025-11-13 05:49:44,CBE,Google Play
Good,5,2025-11-13 05:27:48,CBE,Google Play
Good,5,2025-11-13 05:17:55,CBE,Google Play
smart app,4,2025-11-12 19:17:20,CBE,Google Play
good App,5,2025-11-12 17:14:34,CBE,Google Play
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12 12:53:10,CBE,Google Play
ok,5,2025-11-11 17:07:32,CBE,Google Play
cbe is my choice,4,2025-11-11 15:32:56,CBE,Google Play
Awesome,5,2025-11-11 14:02:57,CBE,Google Play
I am not able to transfer. The app is not responding,1,2025-11-11 12:36:29,CBE,Google Play
Very convenient App,5,2025-11-11 06:44:13,CBE,Google Play
excellent but sometimes can not connect,5,2025-11-10 21:20:32,CBE,Google Play
good app,5,2025-11-10 19:55:20,CBE,Google Play
wow apk,5,2025-11-10 19:06:46,CBE,Google Play
best 100 %,5,2025-11-10 16:51:57,CBE,Google Play
bad app,1,2025-11-10 15:32:37,CBE,Google Play
best app,5,2025-11-10 15:12:36,CBE,Google Play
wow,5,2025-11-10 13:46:49,CBE,Google Play
nice app,5,2025-11-10 12:45:31,CBE,Google Play
bad app,4,2025-11-10 12:13:45,CBE,Google Play
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10 11:21:30,CBE,Google Play
I can't access it properly I think it needs update,1,2025-11-10 10:55:40,CBE,Google Play
👌👌,5,2025-11-10 10:20:01,CBE,Google Play
best 👌,5,2025-11-10 09:30:06,CBE,Google Play
good,4,2025-11-10 09:26:05,CBE,Google Play
not Refresh,2,2025-11-10 08:00:09,CBE,Google Play
your statement is not used as wanted,1,2025-11-10 05:08:16,CBE,Google Play
good very good,5,2025-11-09 18:53:13,CBE,Google Play
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09 15:24:52,CBE,Google Play
good app,5,2025-11-08 20:20:25,CBE,Google Play
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08 17:23:00,CBE,Google Play
Good !,5,2025-11-08 16:05:49,CBE,Google Play
i like it,5,2025-11-08 14:55:40,CBE,Google Play
Very nice app,5,2025-11-08 14:51:07,CBE,Google Play
the app is not functional this week.,4,2025-11-08 07:47:51,CBE,Google Play
good,5,2025-11-07 13:00:05,CBE,Google Play
very updated bank,5,2025-11-05 22:07:50,CBE,Google Play
